link_id,from_node_id,to_node_id,dir_flag,geometry,length
67,234,251,1,"LINESTRING (-80.7053274 28.1199815, -80.7052827 28.120163, -80.7052348 28.1202735, -80.7051146 28.1203947, -80.7049687 28.1204628, -80.7047419 28.1205062)",90.65981369
68,4817,221,1,"LINESTRING (-80.7638855 28.4012893, -80.7646602 28.4015492, -80.764878 28.4016531, -80.7650111 28.4017498, -80.7651323 28.4018601, -80.7652386 28.4019965, -80.7653198 28.4021298, -80.7653712 28.4022532, -80.765401 28.4024005, -80.7653917 28.4025311, -80.7653563 28.4026545, -80.7652957 28.4027692, -80.7652165 28.4028578, -80.7651272 28.4029378, -80.7650064 28.403011, -80.7648755 28.4030566, -80.7647429 28.4030864, -80.7645523 28.4030778, -80.7644029 28.4030489, -80.7642585 28.4029875, -80.7641255 28.4028903, -80.7639811 28.4027493, -80.7638594 28.4025907, -80.7637453 28.4023739, -80.7636326 28.4017216)",523.538023
69,7423,9688,1,"LINESTRING (-80.794223 28.3597331, -80.7940915 28.3598064)",15.23146068
70,9688,5428,1,"LINESTRING (-80.7940915 28.3598064, -80.7940272 28.3599175, -80.7940199 28.3599703, -80.794021 28.3600524, -80.7940553 28.3601657)",41.94555784
71,5428,5429,1,"LINESTRING (-80.7940553 28.3601657, -80.7945017 28.3607775, -80.7948929 28.3612178, -80.7959522 28.3622956, -80.7962011 28.3625826, -80.7964876 28.3629187, -80.7967611 28.3632137)",430.6375678
72,7427,5428,1,"LINESTRING (-80.7935068 28.3599187, -80.7937965 28.3599905, -80.7939266 28.3600599, -80.7940553 28.3601657)",61.56975929
73,5417,5418,1,"LINESTRING (-80.7436665 28.2929219, -80.7439582 28.2931935, -80.7446311 28.2937188, -80.7447684 28.2938548, -80.7448886 28.294074, -80.7449315 28.2942856, -80.7449229 28.2944972, -80.7448456 28.2947088, -80.7447255 28.2948902, -80.7445281 28.2950489, -80.7443392 28.2951472, -80.7441075 28.2952076, -80.7438243 28.2952303, -80.7435153 28.2952303)",401.8343998
74,238,9559,1,"LINESTRING (-80.6360992 28.4052799, -80.639069 28.4052683)",290.4718442
75,4819,7468,1,"LINESTRING (-80.7494489 28.400901, -80.750039 28.4009057, -80.750393 28.4009812, -80.7506827 28.4010803, -80.7510314 28.4012596, -80.751659 28.4016654, -80.7519433 28.4017928, -80.7522169 28.4018448, -80.7527533 28.4018448, -80.7530269 28.4018212, -80.7531485 28.4017847)",389.9545534
76,7468,7469,1,"LINESTRING (-80.7531485 28.4017847, -80.7533583 28.4017545, -80.7534319 28.401752, -80.7535378 28.401763)",38.42803899
