name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,3769,10271040742,,,,,,,-111.9391522,33.4204981,,,
,3770,2625359008,traffic_signals,,signal,,,,-111.9398765,33.420491,,,
,3771,42001777,,,,,,,-111.9522048,33.4207558,,,
,3772,42423604,,,,,,,-111.935635,33.3262399,,,
,3773,42423966,,,,,,,-111.919743,33.327372,,,
,3774,42354882,,,,,,,-111.9160179,33.327831,,,
,3775,42424013,turning_circle,,,,,,-111.9149021,33.3278453,,,
,3776,42424111,turning_circle,,,,,,-111.9369663,33.4575787,,,
,3777,42426845,turning_circle,,,,,,-111.9507486,33.36169,,,
,3778,41586196,,,,,,,-111.975331,33.3873655,,,
,3779,42430513,turning_circle,,,,,,-111.8983721,33.3290506,,,
,3780,42430522,,,,,,,-111.9039769,33.3289215,,,
,3781,42430525,turning_circle,,,,,,-111.9034104,33.3288641,,,
,3782,42430533,turning_circle,,,,,,-111.9019513,33.3282402,,,
,3783,42354888,,,,,,,-111.9160179,33.329674,,,
,3784,42430549,,,,,,,-111.9149279,33.329674,,,
,3785,42430569,,,,,,,-111.9377574,33.328793,,,
,3786,42430595,turning_circle,,,,,,-111.9341609,33.3285267,,,
,3787,41573837,,,,,,,-111.9283222,33.3292143,,,
,3788,2625359013,traffic_signals,,signal,,,,-111.9399709,33.4231952,,,
,3789,42273739,,,,,,,-111.9381685,33.4231955,,,
,3790,41957870,,,,,,,-111.9366654,33.4232048,,,
,3791,42435171,,,,,,,-111.9573395,33.3847812,,,
,3792,41350988,,,,,,,-111.9729707,33.3881037,,,
,3793,42436198,,,,,,,-111.9422705,33.3400504,,,
,3794,42438917,,,,,,,-111.958582,33.324457,,,
,3795,42438925,,,,,,,-111.9564906,33.3802168,,,
,3796,316913829,,,,,,,-111.9564297,33.3819014,,,
,3797,42438936,,,,,,,-111.9586967,33.3284058,,,
