name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,main_node_id
,20326,100888576,,,0,,,,-82.5194103,27.2568886,,
,20327,100891482,,,0,,,,-82.9291887,29.9589837,,
,20328,100891531,traffic_signals,,1,,,,-82.9886135,30.297982,,
,20329,100891941,,,0,,,,-82.921138,29.961838,,
,20330,100893888,,,0,,,,-82.5293177,27.2678734,,
,20331,100893890,,,0,,,,-82.5295494,27.2679163,,
,20332,100893900,,,0,,,,-82.9392324,30.3898198,,
,20333,100893933,traffic_signals,,1,,,,-82.8605085,29.9523943,,
,20334,100893976,,,0,,,,-82.9396608,30.0314165,,
,20335,100894771,,,0,,,,-82.9624829,30.287265,,
,20336,100894794,traffic_signals,,1,,,,-82.9843796,30.2961654,,
,20337,100895917,traffic_signals,,1,,,,-82.5308486,27.3671084,,
,20338,100896953,,,0,,,,-82.9259977,29.9601384,,
,20339,100897531,traffic_signals,,1,,,,-82.9918194,30.2996266,,
,20341,100898122,,,0,,,,-82.9825303,30.2995919,,
,20342,100900686,traffic_signals,,1,,,,-82.9877119,30.2901353,,
,20343,100900689,traffic_signals,,1,,,,-82.9868818,30.2918348,,
,20344,100900694,traffic_signals,,1,,,,-82.9858025,30.2937132,,
,20345,100900764,traffic_signals,,1,,,,-82.5567054,27.3813042,,87
,20346,100900773,traffic_signals,,1,,,,-82.5584016,27.3862204,,
,20347,100900808,traffic_signals,,1,,,,-82.4236842,27.0723833,,376
,20348,100900886,traffic_signals,,1,,,,-82.4062437,27.0501975,,90
